ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2026-01-31,20022871,1200.0,PREM_00251,1200.0,PAY_00211,Fully Paid,0.0
2026-01-31,20022909,1200.0,PREM_00252,0.0,,Unpaid,1200.0
2026-01-31,20023111,1200.0,PREM_00253,0.0,,Unpaid,1200.0
2026-01-31,20023123,1200.0,PREM_00254,1200.0,PAY_00137,Fully Paid,0.0
2026-01-31,20023556,1200.0,PREM_00255,1200.0,PAY_00138,Fully Paid,0.0
2026-01-31,20023705,1200.0,PREM_00256,0.0,,Unpaid,1200.0
2026-01-31,20023719,1200.0,PREM_00257,1200.0,PAY_00139,Fully Paid,0.0
2026-01-31,20023720,1200.0,PREM_00258,1200.0,PAY_00210,Fully Paid,0.0
2026-01-31,20023807,1200.0,PREM_00259,1200.0,PAY_00140,Fully Paid,0.0
2026-01-31,20023869,1200.0,PREM_00260,1200.0,PAY_00141,Fully Paid,0.0
2026-01-31,20024609,1200.0,PREM_00261,0.0,,Unpaid,1200.0
2026-01-31,20024640,1200.0,PREM_00262,1200.0,PAY_00075,Fully Paid,0.0
2026-01-31,20024710,1200.0,PREM_00263,0.0,,Unpaid,1200.0
2026-01-31,20025987,1200.0,PREM_00264,0.0,,Unpaid,1200.0
2026-01-31,20026074,1200.0,PREM_00265,1200.0,PAY_00260,Fully Paid,0.0
2026-01-31,20026101,1200.0,PREM_00266,0.0,,Unpaid,1200.0
2026-01-31,20026274,1200.0,PREM_00267,0.0,,Unpaid,1200.0
2026-01-31,20026415,1200.0,PREM_00268,1200.0,PAY_00261,Fully Paid,0.0
2026-01-31,20026593,1200.0,PREM_00269,1200.0,PAY_00076,Fully Paid,0.0
2026-01-31,20026602,1200.0,PREM_00270,1200.0,PAY_00205,Fully Paid,0.0
2026-01-31,20026746,1200.0,PREM_00271,1200.0,PAY_00143,Fully Paid,0.0
2026-01-31,20027669,1200.0,PREM_00272,1200.0,PAY_00144,Fully Paid,0.0
2026-01-31,20028132,1200.0,PREM_00273,0.0,,Unpaid,1200.0
2026-01-31,20028140,1200.0,PREM_00274,1200.0,PAY_00206,Fully Paid,0.0
